loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,purpose,title,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,loan_status
2400.0, 36 months,  8.24%,75.48,B,B1,Director of Finance,7 years,RENT,70000.0,Source Verified,moving,Moving and relocation,MN,29.73,0.0,Oct-1997,710.0,714.0,0.0,,,11.0,0.0,24704.0,76%,21.0,f,0
2000.0, 36 months, 11.39%,65.85,B,B3,Claims Processor ,1 year,RENT,33600.0,Verified,other,Other,TX,14.93,0.0,Jun-2005,770.0,774.0,0.0,,,10.0,0.0,4159.0,12.6%,29.0,w,0
28000.0, 36 months,  9.99%,903.35,B,B3,Attorney,8 years,MORTGAGE,285000.0,Source Verified,debt_consolidation,Debt consolidation,TX,21.62,0.0,Nov-1998,705.0,709.0,0.0,,,23.0,0.0,144359.0,74.6%,40.0,f,0
25000.0, 60 months, 15.80%,605.3,C,C3,Kaiser Permanente,1 year,MORTGAGE,81000.0,Verified,debt_consolidation,Debt Consolidation,HI,28.86,0.0,Aug-1998,695.0,699.0,1.0,,,12.0,0.0,46337.0,89.3%,25.0,f,0
7800.0, 36 months, 13.59%,265.04,C,C2,Coordinator ,5 years,MORTGAGE,43000.0,Verified,moving,Moving and relocation,FL,29.47,0.0,Feb-2000,680.0,684.0,0.0,55.0,,8.0,0.0,25206.0,64.6%,10.0,w,0
18000.0, 36 months,  6.24%,549.56,A,A2,Attorney,10+ years,MORTGAGE,120000.0,Not Verified,debt_consolidation,Debt consolidation,CA,17.72,0.0,Aug-1988,750.0,754.0,0.0,,,14.0,0.0,42334.0,50.8%,27.0,w,0
5000.0, 36 months, 10.15%,161.69,B,B2,Stock/Sales Associate,< 1 year,OWN,15000.0,Not Verified,credit_card,Credit card refinancing,NY,24.6,0.0,Aug-2005,670.0,674.0,0.0,,,12.0,0.0,5476.0,92.8%,27.0,w,0
20000.0, 60 months, 15.99%,486.26,C,C5,Coach,10+ years,MORTGAGE,40000.0,Verified,debt_consolidation,Debt consolidation,OH,30.21,2.0,Aug-2001,670.0,674.0,0.0,16.0,67.0,8.0,1.0,13438.0,90.2%,15.0,w,0
11000.0, 36 months,  7.21%,340.71,A,A3,Driver,2 years,MORTGAGE,25355.0,Source Verified,debt_consolidation,Debt consolidation,TX,9.96,0.0,Aug-1990,755.0,759.0,0.0,,,13.0,0.0,13032.0,16.1%,26.0,w,0
3800.0, 36 months, 18.06%,137.5,D,D2,Office Coordinator,10+ years,OWN,34000.0,Verified,debt_consolidation,Debt consolidation,OR,29.47,0.0,Feb-2000,720.0,724.0,1.0,,,6.0,0.0,8508.0,91.5%,18.0,w,0
4375.0, 36 months, 18.25%,158.72,D,D3,Jofan meat corp.,6 years,RENT,20000.0,Not Verified,debt_consolidation,credit cards,NY,21.9,0.0,Oct-2007,660.0,664.0,1.0,47.0,,8.0,0.0,8815.0,90%,8.0,f,1
1000.0, 36 months, 20.39%,37.37,D,D4,Assistant,5 years,OWN,9600.0,Source Verified,medical,Medical expenses,CA,12.75,0.0,May-2014,680.0,684.0,0.0,40.0,,2.0,0.0,3627.0,60.5%,2.0,w,0
21600.0, 36 months, 11.53%,712.59,B,B5,Pilot,10+ years,MORTGAGE,156000.0,Verified,credit_card,Credit card refinancing,IL,21.64,0.0,Dec-1993,685.0,689.0,1.0,26.0,,10.0,0.0,15154.0,72.5%,33.0,f,0
5000.0, 36 months, 10.42%,162.33,B,B3,Direct Service Professional,10+ years,RENT,31000.0,Not Verified,credit_card,Credit card refinancing,AZ,5.88,1.0,Apr-1999,690.0,694.0,1.0,12.0,,6.0,0.0,3216.0,36.1%,11.0,w,0
10000.0, 36 months, 12.49%,334.49,B,B4,Teacher,10+ years,MORTGAGE,62325.0,Source Verified,home_improvement,Home improvement,MI,15.69,7.0,Oct-1986,670.0,674.0,3.0,8.0,,8.0,0.0,45858.0,81%,26.0,w,0
11200.0, 60 months, 13.99%,260.55,C,C4,Billing specialist ,10+ years,RENT,33000.0,Not Verified,debt_consolidation,Debt consolidation,RI,30.9,0.0,May-2002,730.0,734.0,0.0,,,10.0,0.0,6453.0,52%,34.0,w,1
21000.0, 36 months, 14.33%,721.11,C,C1,"Verdasys, Inc",1 year,MORTGAGE,117900.0,Verified,credit_card,Credit Card Payoff,MA,7.95,1.0,Jun-1995,670.0,674.0,0.0,2.0,,10.0,0.0,38293.0,88.6%,20.0,f,0
10000.0, 36 months, 15.49%,349.06,C,C4,Retail Sales Leader,< 1 year,RENT,32000.0,Not Verified,credit_card,Credit card refinancing,MO,21.12,0.0,Feb-2015,670.0,674.0,0.0,,,10.0,0.0,8594.0,50.6%,10.0,w,1
35000.0, 36 months, 16.99%,1247.68,D,D3,Mechanical Engineer,8 years,MORTGAGE,140000.0,Verified,debt_consolidation,Debt consolidation,KS,10.87,1.0,Jun-2001,670.0,674.0,0.0,10.0,,10.0,0.0,30777.0,50.2%,23.0,f,0
40000.0, 60 months, 14.08%,932.39,C,C3,Physical Therapist,10+ years,MORTGAGE,105000.0,Verified,debt_consolidation,Debt consolidation,FL,24.94,0.0,Jan-2005,685.0,689.0,0.0,68.0,,15.0,0.0,27319.0,65.4%,22.0,w,1
35000.0, 36 months, 12.74%,1174.91,C,C1,VP Sales,10+ years,MORTGAGE,146000.0,Source Verified,debt_consolidation,Debt consolidation,AZ,22.65,0.0,Jul-1989,690.0,694.0,0.0,25.0,,13.0,0.0,45780.0,77.9%,32.0,w,0
9000.0, 36 months, 13.65%,306.08,C,C1,Engineer,10+ years,MORTGAGE,180000.0,Not Verified,debt_consolidation,Debt consolidation,FL,7.13,0.0,May-2004,670.0,674.0,1.0,37.0,,10.0,0.0,7862.0,65.5%,24.0,w,1
7750.0, 36 months, 10.99%,253.69,B,B4,Customer service advocate ,4 years,RENT,33315.0,Verified,credit_card,Credit card refinancing,TX,29.18,0.0,Jul-1993,680.0,684.0,1.0,,43.0,10.0,2.0,7045.0,75.8%,13.0,f,0
12000.0, 36 months,  8.18%,377.04,B,B1,Customer Service Manager ,10+ years,MORTGAGE,90000.0,Source Verified,debt_consolidation,Debt consolidation,AL,2.15,0.0,Oct-2007,710.0,714.0,1.0,,,4.0,0.0,8164.0,34.7%,5.0,w,0
25000.0, 60 months, 15.05%,595.41,C,C4,Research Assistant,10+ years,OWN,25000.0,Not Verified,debt_consolidation,Debt consolidation,KS,25.2,0.0,Oct-1997,750.0,754.0,0.0,,,3.0,0.0,7070.0,60.9%,14.0,w,0
18000.0, 36 months,  6.99%,555.71,A,A2,Product Conformance Manager,10+ years,MORTGAGE,93000.0,Not Verified,debt_consolidation,Debt consolidation,WI,14.79,1.0,Jul-2001,740.0,744.0,1.0,19.0,,9.0,0.0,5580.0,25.1%,39.0,f,0
5000.0, 36 months, 13.99%,170.87,C,C3,Production Coordinator,3 years,RENT,50000.0,Source Verified,major_purchase,Major purchase,CA,13.06,0.0,Jul-2008,730.0,734.0,0.0,,,15.0,0.0,2930.0,22.5%,20.0,w,0
20000.0, 36 months, 12.59%,669.94,C,C2,Administrator,6 years,RENT,83000.0,Verified,debt_consolidation,Debt consolidation,UT,22.48,1.0,Oct-1991,665.0,669.0,0.0,15.0,,13.0,0.0,14727.0,75.5%,28.0,w,1
30000.0, 36 months, 18.49%,1091.97,D,D2,Board Of Regents,6 years,MORTGAGE,100000.0,Source Verified,debt_consolidation,Freedom,NV,20.0,0.0,May-2002,700.0,704.0,3.0,53.0,,12.0,0.0,10335.0,42.4%,28.0,f,0
20000.0, 60 months, 11.06%,435.45,B,B3,Assistant consultant,9 years,RENT,73500.0,Not Verified,credit_card,Credit card refinancing,AZ,4.2,0.0,Oct-2012,710.0,714.0,0.0,,,18.0,0.0,17310.0,21.8%,22.0,w,1
10800.0, 36 months, 12.99%,363.85,C,C2,e-8,10+ years,MORTGAGE,80000.0,Not Verified,debt_consolidation,Debt consolidation,TX,13.14,0.0,Mar-2004,725.0,729.0,1.0,,,7.0,0.0,6969.0,30.6%,37.0,f,0
16000.0, 36 months, 13.67%,544.29,C,C3,owner/director,10+ years,RENT,40000.0,Verified,debt_consolidation,Debt consolidation,MA,31.32,0.0,Oct-2002,690.0,694.0,3.0,,,16.0,0.0,15891.0,44%,23.0,w,0
35000.0, 60 months, 18.45%,897.37,D,D2,Branch Manager,< 1 year,MORTGAGE,70488.0,Verified,debt_consolidation,Debt consolidation,OR,23.75,0.0,Aug-2006,680.0,684.0,1.0,,,33.0,0.0,30155.0,52.5%,54.0,w,0
7000.0, 36 months,  8.18%,219.94,B,B1,direct care,5 years,RENT,54000.0,Not Verified,major_purchase,Major purchase,NJ,32.02,1.0,May-2008,690.0,694.0,0.0,8.0,,9.0,0.0,1975.0,38.7%,16.0,w,0
13000.0, 36 months,  8.81%,412.25,A,A5,Information technology associate,10+ years,RENT,80000.0,Source Verified,debt_consolidation,Debt consolidation,CA,12.68,0.0,Oct-2005,670.0,674.0,1.0,,,9.0,0.0,21665.0,79.4%,17.0,w,1
11200.0, 36 months, 12.99%,377.32,C,C2,head bus driver,10+ years,OWN,56000.0,Not Verified,debt_consolidation,Debt consolidation,NY,37.44,0.0,Apr-1989,770.0,774.0,0.0,,,15.0,0.0,20012.0,34.8%,27.0,w,0
6000.0, 36 months,  9.80%,193.05,B,B3,budget manager,10+ years,RENT,89000.0,Source Verified,debt_consolidation,Debt consolidation,NY,4.11,0.0,Sep-1996,705.0,709.0,2.0,72.0,,3.0,0.0,723.0,72.3%,17.0,f,0
14000.0, 60 months, 15.05%,333.43,C,C4,LENDER,10+ years,MORTGAGE,90000.0,Source Verified,debt_consolidation,Debt consolidation,OK,33.13,2.0,Mar-1999,705.0,709.0,0.0,11.0,,15.0,0.0,8327.0,41.6%,44.0,w,1
10000.0, 36 months, 13.49%,339.31,C,C2,Account Executive,2 years,OWN,70000.0,Source Verified,medical,Medical expenses,OH,10.23,0.0,Oct-1996,660.0,664.0,0.0,,78.0,12.0,1.0,8003.0,66.1%,33.0,w,0
9000.0, 36 months,  8.90%,285.78,A,A5,rn,5 years,MORTGAGE,60000.0,Not Verified,home_improvement,home improvements,LA,20.68,0.0,Apr-2000,715.0,719.0,0.0,27.0,,13.0,0.0,18856.0,58.9%,23.0,f,1
10000.0, 60 months, 19.42%,261.73,D,D3,Facility Manager ,2 years,MORTGAGE,45000.0,Source Verified,debt_consolidation,Debt consolidation,TN,9.95,0.0,Sep-2005,700.0,704.0,1.0,65.0,,6.0,0.0,1978.0,27.1%,19.0,w,0
12800.0, 60 months, 17.86%,324.07,D,D5,Lead Document Imaging Specialist,< 1 year,RENT,32000.0,Source Verified,debt_consolidation,Debt consolidation,NJ,14.59,0.0,Oct-2000,680.0,684.0,0.0,,,5.0,0.0,17554.0,84%,12.0,w,1
30000.0, 60 months, 16.02%,729.87,C,C5,RN,10+ years,MORTGAGE,75000.0,Source Verified,debt_consolidation,Debt consolidation,TX,31.18,1.0,Oct-2005,705.0,709.0,0.0,2.0,,13.0,0.0,24571.0,48.4%,26.0,w,0
16000.0, 60 months, 13.56%,368.66,C,C1,Analysis Manager,10+ years,MORTGAGE,70000.0,Source Verified,debt_consolidation,Debt consolidation,NC,21.31,0.0,May-2003,665.0,669.0,0.0,32.0,,6.0,0.0,17737.0,89.6%,15.0,w,1
